"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"Higganum","CT","Hartford","Middlesex",5524,275300,0.00145507457257184,0.00658135283363803,0.0463702014443177,-0.0184727750427774,-0.00331681452803012,"2006-10","2006-Q4",317900,-0.134004403900598,"2004-09"
2014-12-31,"Clementon","NJ","Philadelphia","Camden",5525,122800,-0.00243704305442729,0.0123660346248969,0.146591970121382,-0.03268911931106,-0.0064431838445792,"2006-09","2006-Q3",159600,-0.230576441102757,"2004-10"
2014-12-31,"Somerdale","NJ","Philadelphia","Camden",5526,135900,-0.0043956043956044,-0.00585223116313094,0.00369276218611521,-0.0450208507140747,-0.0111987101413034,"2007-12","2007-Q4",187800,-0.276357827476038,"2004-04"
2014-12-31,"Bronson","FL",,"Levy",5527,84700,0.00593824228028504,0.0229468599033816,0.064070351758794,-0.0313055034876,0.000473485724014511,"2007-05","2007-Q2",136700,-0.380395025603511,"2005-01"
2014-12-31,"Franklin Township","PA","York","York",5528,177700,-0.0039237668161435,-0.00837053571428571,0.0177548682703322,-0.0124632663753143,0.00873394219288959,"2008-09","2008-Q3",198600,-0.105236656596173,"2005-08"
2014-12-31,"Valencia West","AZ","Tucson","Pima",5529,150300,0.00535117056856187,0.00737265415549598,0.0517844646606018,0.015754689566003,-0.00783513409304237,"2006-05","2006-Q2",224500,-0.330512249443207,"2004-08"
2014-12-31,"Lincoln","AR","Fayetteville","Washington",5530,113800,0.0124555160142349,0.0507848568790397,0.152988855116515,0.0209370864977927,0.0203893833732032,"2007-11","2007-Q4",116100,-0.0198105081826012,"2007-03"
2014-12-31,"Birdsboro","PA","Reading","Berks",5531,163200,0.0067859346082665,0.015556938394524,0.0277078085642317,-0.0186408570787975,0.0000612951687759544,"2007-05","2007-Q2",199900,-0.183591795897949,"2005-01"
2014-12-31,"Penns Grove","NJ","Philadelphia","Salem",5532,94800,-0.00105374077976818,0.00423728813559322,0.12189349112426,-0.0268143366631911,0.00235078553452128,"2007-07","2007-Q3",128900,-0.264546159813809,"2005-03"
2014-12-31,"Lake Barrington","IL","Chicago","Lake",5533,361100,0.000831485587583149,0.00612984118138757,0.0131874298540965,-0.00361593869609145,-0.0133394961678994,"2006-07","2006-Q3",446200,-0.190721649484536,"2002-02"
2014-12-31,"Bell Buckle","TN","Shelbyville","Bedford",5534,144100,0.00278357689631176,0.0198159943382873,0.088368580060423,0.0255859248904939,0.0185549876639157,"2014-12","2014-Q4",144100,0,"2014-12"
2014-12-31,"Mayflower","AR","Little Rock","Faulkner",5535,114700,0.00349956255468067,0.0168439716312057,0.0769953051643193,0.0170552861710354,0.0317634658859838,"2014-12","2014-Q4",114700,0,"2014-12"
2014-12-31,"Suncook","NH","Concord","Merrimack",5536,165400,0.00181708055723804,0.0153468385512584,0.0488268864933418,-0.000964554484328861,-0.0180768494186243,"2006-03","2006-Q1",213500,-0.225292740046838,"2003-06"
2014-12-31,"Boones Mill","VA","Roanoke","Franklin",5537,161000,-0.00124069478908189,0.00436681222707424,0.122733612273361,0.00827611296254327,0.015387431287964,"2007-04","2007-Q2",162700,-0.0104486785494776,"2007-04"
2014-12-31,"Bolton","MA","Worcester","Worcester",5538,454400,0.00642303433001107,0.024346257889991,0.0320236202589144,0.00899661296303145,-0.0132996617534769,"2005-04","2005-Q2",539800,-0.158206743238236,"2003-02"
2014-12-31,"Waunakee","WI","Madison","Dane",5539,289000,0.00451859575947167,0.020840692334864,0.0876928867143395,0.0223196634306653,0.0156223838289355,"2014-12","2014-Q4",289000,0,"2014-12"
2014-12-31,"Linwood","NC","Thomasville","Davidson",5540,94000,0.0053475935828877,0.0307017543859649,0.144945188794153,0.00540572046213716,0.00928705520891948,"2014-12","2014-Q4",94000,0,"2014-12"
2014-12-31,"Pound Ridge","NY","New York","Westchester",5541,987300,0.0210983555693453,0.0756073646366707,0.118373357498867,-0.00219353316582238,-0.000212452846317546,"2008-05","2008-Q2",1132900,-0.128519728131344,"2004-12"
2014-12-31,"New Ipswich","NH","Manchester","Hillsborough",5542,203300,0.00743310208126858,0.0262493690055528,0.110322228290552,0.00468895269954772,-0.0100905138424677,"2005-11","2005-Q4",246400,-0.174918831168831,"2003-10"
2014-12-31,"Franklin Township","PA","Gettysburg","Adams",5543,159700,0.00566750629722922,0.0171974522292994,0.0625415834996673,-0.0247290949153606,0.000313627351845813,"2006-07","2006-Q3",210100,-0.23988576868158,"2005-01"
2014-12-31,"Nashville","MI","Grand Rapids","Barry",5544,91900,0.011001100110011,0.0455062571103527,0.181233933161954,0.0273537091017182,-0.00487228959915986,"2005-07","2005-Q3",107200,-0.142723880597015,"2004-08"
2014-12-31,"North Cornwall Township","PA","Lebanon","Lebanon",5545,225600,-0.00132802124833997,-0.00485222761358624,0.0143884892086331,-0.00376906161815782,0.0133400686591234,"2008-05","2008-Q2",238400,-0.0536912751677852,"2006-12"
2014-12-31,"Independence","MN","Minneapolis-St Paul","Hennepin",5546,419500,0.0101131712015411,0.022671867381765,0.0859435671757701,0.0143782888182638,-0.00137218532683392,"2007-03","2007-Q1",482000,-0.129668049792531,"2004-06"
2014-12-31,"Poolesville","MD","Washington","Montgomery",5547,407300,0.00567901234567901,0.0246540880503145,0.0792262851086381,0.0122204756524276,0.00302035699254288,"2007-08","2007-Q3",465500,-0.125026852846402,"2005-04"
